# page_id = 11a

ཞིང་སྐལ་	[ཞིང་སྐལ་] n.count NOUN Number=Sing #1->1
ཐོབ་པ་	[ཐོབ་པ་] n.v.invar VERB VerbForm=Vnoun #3->3
ལ་	[ལ་√case] case.all ADP Case=All #4->4
གཟུག་	[གཟུག་] n.count NOUN Number=Sing #5->5
ལྷུ་	[ལྷུ་] n.count NOUN Number=Sing #6->6
ཐོབ་པ་	[ཐོབ་པ་] n.v.invar VERB VerbForm=Vnoun #7->7
ལ་	[ལ་√case] case.all ADP Case=All #8->8
ལྷུ	[ལྷུ་] n.count NOUN Number=Sing #9->9
།	[།] punc PUNCT #10->10
ཆང་	[ཆང་] n.mass NOUN Number=Coll #1->1
དཀར་ཡོལ་	[དཀར་ཡོལ་] n.count NOUN Number=Sing #2->2
གྱི་	[གྱི་√case] case.gen ADP Case=Gen #3->2 @case
གཡང་ཚེ་	[གཡང་ཚེ་] n.count NOUN Number=Sing #4->4
དང་	[དང་√case] case.ass ADP Case=Com #5->4 @case
བཅས་པ	[བཅས་] n.v.invar VERB VerbForm=Vnoun #6->6
འི་	[གྱི་√case] case.gen ADP Case=Gen #7->7
སྟོན་མོ་	[སྟོན་མོ་] n.count NOUN Number=Sing #8->8
བཟང་པོ་	[བཟང་པོ་] adj ADJ #9->9
གྲངས་	[གྲངས་] v.past.v.pres VERB Tense=Past,Pres #10->10
ནས	[ནས་√cv] cv.ela SCONJ Case=Ela #11->10 @mark
།	[།] punc PUNCT #12->10 @punct
ཨ་མ	[ཨ་མ་] n.count NOUN Number=Sing #1->1
ས་	[གྱིས་√case] case.agn ADP Case=Agn #2->1 @case
གྲལ་	[གྲལ་] n.count NOUN Number=Sing #3->3
གྱི་	[གྱི་√case] case.gen ADP Case=Gen #4->3 @case
དབུས་	[དབུས་] n.rel NOUN NounType=Rel #5->5
སུ་	[དུ་√case] case.term ADP Case=Ter #6->6
ལངས་	[ལྡང་√1] v.past VERB Tense=Past #7->7	[ལྡང་√2] v.past VERB Tense=Past #7->7	[ལང་√1] v.past VERB Tense=Past #7->7	[ལང་√2] v.past VERB Tense=Past #7->7
ཏེ	[ཏེ་√cv] cv.sem SCONJ Case=Sem #8->7 @mark
།	[།] punc PUNCT #9->7 @punct
འོ་	[འོ་] adv.proclausal ADV PronType=Dem #1->1
ལགས་	[ལགས་] v.cop AUX #2->2
སོ	[འོ་√cv] cv.fin PART Mood=Ind #3->3
།	[།] punc PUNCT #4->4
བུ་	[བུ་] n.count NOUN Number=Sing #1->1
སྐྱེས་པ་	[སྐྱེ་] n.v.past VERB Tense=Past|VerbForm=Vnoun #2->2
ལ་	[ལ་√case] case.all ADP Case=All #3->3
མིང་	[མིང་] n.count NOUN Number=Sing #4->4
།	[།] punc PUNCT #5->5
ཆང་	[ཆང་] n.mass NOUN Number=Coll #1->1
གྲངས་པ་	[གྲངས་པ་] n.v.past.n.v.pres VERB Tense=Past,Pres|VerbForm=Vnoun #2->2
ལ་	[ལ་√case] case.all ADP Case=All #3->3
གཏམ་	[གཏམ་] n.count NOUN Number=Sing #4->4
བྱ་བ	[བྱེད་] n.v.fut VERB Tense=Fut|VerbForm=Vnoun #5->5
ར་	[དུ་√case] case.term ADP Case=Ter #6->6
གདའ་བ	[གདའ་] n.v.invar VERB VerbForm=Vnoun #7->7
ས	[གྱིས་√case] case.agn ADP Case=Agn #8->8
།	[།] punc PUNCT #9->9
ང་	[ང་√p] p.pers PRON PronType=Prs #1->1
ཡང་	[འང་√cl] cl.focus PART #2->2
གཏམ་ཚིག་	[གཏམ་ཚིག་] n.count NOUN Number=Sing #3->3
གསུམ་པ་	[གསུམ་པ་] num.ord ADJ NumType=Ord #4->4
ཅིག་	[ཅིག་√d] d.indef DET PronType=Ind #5->5
གཏོང་བ་	[གཏོང་√1] n.v.pres VERB Tense=Pres|VerbForm=Vnoun #6->6	[གཏོང་√2] n.v.pres VERB Tense=Pres|VerbForm=Vnoun #6->6
ལགས་པ	[ལགས་པ་] n.v.cop AUX VerbForm=Vnoun #7->7
ས	[གྱིས་√case] case.agn ADP Case=Agn #8->8
།	[།] punc PUNCT #9->9
ཡབ་	[ཡབ་] n.count NOUN Number=Sing #1->1
མི་ལ་ཤེས་རབ་རྒྱལ་མཚན་	[མི་ལ་ཤེས་རབ་རྒྱལ་མཚན་] n.prop PROPN #2->2
སྐུ་	[སྐུ་] n.count NOUN Number=Sing #3->3
ཐིམ་	[འཐིམ་] v.invar VERB #4->4
ཀ	[ཀ་] n.count NOUN Number=Sing #5->5
ར་	[དུ་√case] case.term ADP Case=Ter #6->5 @case
ཞལ་ཆེམས་	[ཞལ་ཆེམས་] n.count NOUN Number=Sing #7->7
གསུངས་པ་	[གསུང་√1] n.v.past VERB Tense=Past|VerbForm=Vnoun #8->8	[གསུང་√2] n.v.past VERB Tense=Past|VerbForm=Vnoun #8->8
རྒྱུས་	[རྒྱུས་] n.count NOUN Number=Sing #9->9
ཡོད་	[ཡོད་] v.invar VERB #10->10
ཀྱི་	[གྱི་√case] case.gen ADP Case=Gen #11->11
མི་	[མི་] n.count NOUN Number=Sing #12->12
བགྲེས་པ་	[བགྲེས་] n.v.invar VERB VerbForm=Vnoun #13->13
ཨ་ཁུ་	[ཨ་ཁུ་] n.count NOUN Number=Sing #14->14
དང་	[དང་√case] case.ass ADP Case=Com #15->14 @case
ཨ་ནེ	[ཨ་ནེ་] n.count NOUN Number=Sing #16->16
ས་	[གྱིས་√case] case.agn ADP Case=Agn #17->16 @case
གཙོ་	[གཙོ་] n.count NOUN Number=Sing #18->18
མཛད	[མཛད་] v.invar VERB #19->19
།	[།] punc PUNCT #20->19 @punct
འདི	[འདི་√d] d.dem DET PronType=Dem #1->1
ར་	[དུ་√case] case.term ADP Case=Ter #2->2
བཞུགས་	[བཞུགས་] v.invar VERB #3->3
ཀྱི་	[གྱི་√case] case.gen ADP Case=Gen #4->4
གྲལ་པ་	[གྲལ་པ་] n.count NOUN Number=Sing #5->5
རྣམས་	[རྣམས་√d] d.plural DET Number=Plur #6->5 @det
སྙན་	[སྙན་] n.count NOUN Number=Sing #7->7
གསན་པ	[གཟོན་] n.v.past.n.v.pres VERB Tense=Past,Pres|VerbForm=Vnoun #8->8	[གསན་] n.v.past.n.v.pres VERB Tense=Past,Pres|VerbForm=Vnoun #8->8
ར་	[དུ་√case] case.term ADP Case=Ter #9->9
ཞུ་	[ཞུ་√1] v.fut.v.pres VERB Tense=Fut,Pres #10->10	[ཞུ་√2] v.fut.v.pres VERB Tense=Fut,Pres #10->10
ཞེས་	[ཅེས་√cl] cl.quot quote.E VERB Mood=Qot #11->11
བརྗོད་	[རྗོད་√1] v.past VERB Tense=Past #12->12	[རྗོད་√2] v.past VERB Tense=Past #12->12
ནས	[ནས་√cv] cv.ela SCONJ Case=Ela #13->12 @mark
།	[།] punc PUNCT #14->12 @punct
ཞང་པོ	[ཞང་པོ་] n.count NOUN Number=Sing #1->1
ས་	[གྱིས་√case] case.agn ADP Case=Agn #2->1 @case
ཡབ་	[ཡབ་] n.count NOUN Number=Sing #3->3
ཀྱི་	[གྱི་√case] case.gen ADP Case=Gen #4->3 @case
ཞལ་ཆེམས་	[ཞལ་ཆེམས་] n.count NOUN Number=Sing #5->5
ཀྱི་	[གྱི་√case] case.gen ADP Case=Gen #6->5 @case
ཡི་གེ་	[ཡི་གེ་] n.count NOUN Number=Sing #7->7
བཀླགས་པ	[ཀློག་] n.v.past VERB Tense=Past|VerbForm=Vnoun #8->8
འི་	[གྱི་√case] case.gen ADP Case=Gen #9->9
མཐ	[མཐའ་] n.rel NOUN NounType=Rel #10->10
ར	[དུ་√case] case.term ADP Case=Ter #11->11
།	[།] punc PUNCT #12->12
ཨ་མ	[ཨ་མ་] n.count NOUN Number=Sing #1->1
ས	[གྱིས་√case] case.agn ADP Case=Agn #2->1 @case
།	[།] punc PUNCT #3->3
ཡི་གེ་	[ཡི་གེ་] n.count NOUN Number=Sing #1->1
འདི	[འདི་√d] d.dem DET PronType=Dem #2->2
འི་	[གྱི་√case] case.gen ADP Case=Gen #3->3
དོན་	[དོན་] n.count NOUN Number=Sing #4->4
གསུང་ངག་	[གསུང་ངག་] n.count NOUN Number=Sing #5->5
དང་	[དང་√case] case.ass ADP Case=Com #6->5 @case
བཅས་པ་	[བཅས་] n.v.invar VERB VerbForm=Vnoun #7->7
འདི	[འདི་√d] d.dem DET PronType=Dem #8->8
ར་	[དུ་√case] case.term ADP Case=Ter #9->9
བཞུགས་	[བཞུགས་] v.invar VERB #10->10
ཀྱི་	[གྱི་√case] case.gen ADP Case=Gen #11->11
བགྲེས་པ་	[བགྲེས་] n.v.invar VERB VerbForm=Vnoun #12->12
ཀུན་	[ཀུན་√d] d.plural DET Number=Plur #13->13
གྱི་	[གྱི་√case] case.gen ADP Case=Gen #14->14
ཐུགས་	[ཐུགས་] n.count NOUN Number=Sing #15->15
ལ་	[ལ་√case] case.all ADP Case=All #16->15 @case
གསལ་བ	[གསལ་] n.v.fut.n.v.pres VERB Tense=Fut,Pres|VerbForm=Vnoun #17->17
ས་	[གྱིས་√case] case.agn ADP Case=Agn #18->18
རྒྱས་པ	[རྒྱ་√1] n.v.past VERB Tense=Past|VerbForm=Vnoun #19->19
ར་	[དུ་√case] case.term ADP Case=Ter #20->20
ཞུ་	[ཞུ་√1] v.fut.v.pres VERB Tense=Fut,Pres #21->21	[ཞུ་√2] v.fut.v.pres VERB Tense=Fut,Pres #21->21
མི་	[མི་√neg] neg PART Polarity=Neg #22->23 @advmod
དགོས་པ	[དགོས་པ་] n.v.aux VERB VerbForm=Vnoun|VerbType=Aux #23->23
ར་	[དུ་√case] case.term ADP Case=Ter #24->24
གདའ	[གདའ་] v.invar VERB #25->25
།	[།] punc PUNCT #26->25 @punct
དོན་	[དོན་] n.count NOUN Number=Sing #1->1
དྲིལ་བ་	[འདྲིལ་] n.v.fut VERB Tense=Fut|VerbForm=Vnoun #2->2
ལ་	[ལ་√case] case.all ADP Case=All #3->3
སྔ	[སྔ་] adv.temp ADV AdvType=Tim #4->4
ར་	[དུ་√case] case.term ADP Case=Ter #5->4 @case
ཕན་	[ཕན་] n.count NOUN Number=Sing #6->6
ཨ་ཁུ་	[ཨ་ཁུ་] n.count NOUN Number=Sing #7->7
དང་	[དང་√case] case.ass ADP Case=Com #8->7 @case
ཨ་ནེ་	[ཨ་ནེ་] n.count NOUN Number=Sing #9->9
གཉིས་	[གཉིས་] num.card NUM NumType=Card|NumForm=Word #10->10
ཀྱིས་	[གྱིས་√case] case.agn ADP Case=Agn #11->11
ངེད་	[ངེད་√p] p.pers PRON PronType=Prs #12->12
མ་སྨད་	[མ་སྨད་] n.count NOUN Number=Sing #13->13
གསུམ་	[གསུམ་] num.card NUM NumType=Card|NumForm=Word #14->14
ལ་	[ལ་√case] case.all ADP Case=All #15->15
མགོ་འདོན་	[མགོ་འདོན་] n.count NOUN Number=Sing #16->16
ཡང་དག་	[ཡང་དག་] adj ADJ #17->17
མཛད་པ་	[མཛད་] n.v.invar VERB VerbForm=Vnoun #18->18
ཐུགས་	[ཐུགས་] n.count NOUN Number=Sing #19->19
ལ་	[ལ་√case] case.all ADP Case=All #20->19 @case
བཏགས	[གཏོག་√2] v.past VERB Tense=Past #21->21	[འཐག་√1] v.past VERB Tense=Past #21->21	[འདོག་] v.past VERB Tense=Past #21->21	[འདོགས་] v.past VERB Tense=Past #21->21
།	[།] punc PUNCT #22->21 @punct
ད་	[ད་] adv.temp ADV AdvType=Tim #1->1
ང་	[ང་√p] p.pers PRON PronType=Prs #2->2
རང་	[རང་√p] p.refl PRON Reflex=Yes #3->3
གི་	[གྱི་√case] case.gen ADP Case=Gen #4->4
བུ་	[བུ་] n.count NOUN Number=Sing #5->5
དང་	[དང་√case] case.ass ADP Case=Com #6->5 @case
མཛེས་སེ་	[མཛེས་སེ་] n.prop PROPN #7->7
གཉིས་	[གཉིས་] num.card NUM NumType=Card|NumForm=Word #8->8
ཀ	[ཀ་√d] d.det DET #9->9
ས་	[གྱིས་√case] case.agn ADP Case=Agn #10->10
ཁྱིམ་སོ་	[ཁྱིམ་སོ་] n.count NOUN Number=Sing #11->11
ཟིན་པ་	[ཟིན་] n.v.past.n.v.pres VERB Tense=Past,Pres|VerbForm=Vnoun #12->12
འདུག་པ	[འདུག་] n.v.invar VERB VerbForm=Vnoun #13->13
ས	[གྱིས་√case] case.agn ADP Case=Agn #14->14
།	[།] punc PUNCT #15->15
ངེད་	[ངེད་√p] p.pers PRON PronType=Prs #1->1
རང་	[རང་√p] p.refl PRON Reflex=Yes #2->2
གི་	[གྱི་√case] case.gen ADP Case=Gen #3->3
ནོར་བཅོལ་	[ནོར་བཅོལ་] n.count NOUN Number=Sing #4->4
རྣམས་	[རྣམས་√d] d.plural DET Number=Plur #5->4 @det
སྤྲོད་པ་	[སྤྲོད་] n.v.pres VERB Tense=Pres|VerbForm=Vnoun #6->6
དང་	[དང་√case] case.ass ADP Case=Com #7->7
།	[།] punc PUNCT #8->8
མཛེས་སེ་	[མཛེས་སེ་] n.prop PROPN #1->1
ཡང་	[འང་√cl] cl.focus PART #2->2
གནའ་མ	[གནའ་མ་] n.count NOUN Number=Sing #3->3
ར་	[ར་] n.count NOUN Number=Sing #4->4
བསུ་	[བསུ་] v.pres VERB Tense=Pres #5->5
ནས་	[ནས་√cv] cv.ela SCONJ Case=Ela #6->5 @mark
ཡབ་	[ཡབ་] n.count NOUN Number=Sing #7->7
ཀྱི་	[གྱི་√case] case.gen ADP Case=Gen #8->7 @case
ཞལ་ཆེམས་	[ཞལ་ཆེམས་] n.count NOUN Number=Sing #9->9
བཞིན་	[བཞིན་] n.rel NOUN NounType=Rel #10->10
ཕ་ཤུལ་	[ཕ་ཤུལ་] n.count NOUN Number=Sing #11->11
བུ	[བུ་] n.count NOUN Number=Sing #12->12
ས་	[གྱིས་√case] case.agn ADP Case=Agn #13->12 @case
འཛིན་	[འཛིན་] v.pres VERB Tense=Pres #14->14
དུ་	[དུ་√cv] cv.term SCONJ Case=Ter #15->14 @mark
འཇུག་པ	[འཇུག་√1] n.v.pres VERB Tense=Pres|VerbForm=Vnoun #16->16	[འཇུག་√2] n.v.pres VERB Tense=Pres|VerbForm=Vnoun #16->16
ར་	[དུ་√case] case.term ADP Case=Ter #17->17
ཞུ་	[ཞུ་√1] v.fut.v.pres VERB Tense=Fut,Pres #18->18	[ཞུ་√2] v.fut.v.pres VERB Tense=Fut,Pres #18->18
བྱས་པ	[བྱེད་] n.v.past VERB Tense=Past|VerbForm=Vnoun #19->19
ས	[གྱིས་√case] case.agn ADP Case=Agn #20->20
།	[།] punc PUNCT #21->21
# page_id = 11b
ཨ་ཁུ་	[ཨ་ཁུ་] n.count NOUN Number=Sing #1->1
དང་	[དང་√case] case.ass ADP Case=Com #2->1 @case
ཨ་ནེ་	[ཨ་ནེ་] n.count NOUN Number=Sing #3->3
གཉིས་	[གཉིས་] num.card NUM NumType=Card|NumForm=Word #4->4
ཅི་	[ཅི་√p] p.interrog PRON PronType=Int #5->5
ལ་	[ལ་√case] case.all ADP Case=All #6->5 @case
མི་	[མི་√neg] neg PART Polarity=Neg #7->8 @advmod
འཆམ་	[འཆམ་√1] v.fut.v.pres VERB Tense=Fut,Pres #8->8
རུང་	[རུང་√cv] cv.rung SCONJ Case=Rung #9->8 @mark
ལྟོ་	[ལྟོ་] n.count NOUN Number=Sing #10->10
ལ་	[ལ་√case] case.all ADP Case=All #11->10 @case
འཆམ་པ་	[འཆམ་√1] n.v.fut.n.v.pres VERB Tense=Fut,Pres|VerbForm=Vnoun #12->12
དང་	[དང་√case] case.ass ADP Case=Com #13->13
།	[།] punc PUNCT #14->14
ང་	[ང་√p] p.pers PRON PronType=Prs #1->1
བུ་	[བུ་] n.count NOUN Number=Sing #2->2
གཅིག་པོ	[གཅིག་པོ་] adj ADJ #3->3
ར་	[དུ་√case] case.term ADP Case=Ter #4->4
སོང་བ་	[འགྲོ་] n.v.past VERB Tense=Past|VerbForm=Vnoun #5->5	[སོང་] n.v.past VERB Tense=Past|VerbForm=Vnoun #5->5
དང་	[དང་√case] case.ass ADP Case=Com #6->6
ཨ་ཁུ་	[ཨ་ཁུ་] n.count NOUN Number=Sing #7->7
ལ་	[ལ་√case] case.all ADP Case=All #8->7 @case
བུ་	[བུ་] n.count NOUN Number=Sing #9->9
མང་པོ་	[མང་པོ་] adj ADJ #10->10
ཡོད་པ	[ཡོད་] n.v.invar VERB VerbForm=Vnoun #11->11
འི་	[གྱི་√case] case.gen ADP Case=Gen #12->12
སྟབས་	[སྟབས་] n.count NOUN Number=Sing #13->13
ཀྱིས	[གྱིས་√case] case.agn ADP Case=Agn #14->13 @case
།	[།] punc PUNCT #15->15
ཨ་ནེ་	[ཨ་ནེ་] n.count NOUN Number=Sing #1->1
དང་	[དང་√case] case.ass ADP Case=Com #2->1 @case
ཨ་ཁུ་	[ཨ་ཁུ་] n.count NOUN Number=Sing #3->3
གཉིས་	[གཉིས་] num.card NUM NumType=Card|NumForm=Word #4->4
གཅིག་	[གཅིག་] num.card NUM NumType=Card|NumForm=Word #5->5
ཏུ་	[དུ་√case] case.term ADP Case=Ter #6->6
དྲིལ་	[འདྲིལ་] v.past VERB Tense=Past #7->7
ནས་	[ནས་√cv] cv.ela SCONJ Case=Ela #8->7 @mark
ཁྱེད་	[ཁྱེད་√p] p.pers PRON PronType=Prs #9->9
ཀྱི་	[གྱི་√case] case.gen ADP Case=Gen #10->9 @case
ནོར་	[ནོར་] n.mass NOUN Number=Coll #11->11
རམ་	[འམ་√cv] cv.ques PART Polarity=Xor #12->12
དེ་	[དེ་√d] d.dem DET PronType=Dem #13->13
གང་	[གང་√p] p.interrog PRON PronType=Int #14->14
ན་	[ན་√case] case.loc ADP Case=Loc #15->14 @case
ཡོད་པ་	[ཡོད་] n.v.invar VERB VerbForm=Vnoun #16->16
ཡིན	[ཡིན་] v.cop AUX #17->17
།	[།] punc PUNCT #18->18
དང་པོ་	[དང་པོ་] num.ord ADJ NumType=Ord #1->1
མི་ལ་ཤེས་རབ་རྒྱལ་མཚན་	[མི་ལ་ཤེས་རབ་རྒྱལ་མཚན་] n.prop PROPN #2->2
ཁོ་	[ཁོ་√p] p.pers PRON PronType=Prs #3->3
རང་	[རང་√p] p.refl PRON Reflex=Yes #4->4
ཁམས་	[ཁམས་] n.count NOUN Number=Sing #5->5
བཟང་	[བཟང་] v.invar VERB #6->6
རིང་	[རིང་] n.rel NOUN NounType=Rel #7->7
ཁང་ཞིང་གསེར་གཡུ་མཛོ་རྟ་གནག་ལུག་	[ཁང་ཞིང་གསེར་གཡུ་མཛོ་རྟ་གནག་ལུག་] n.count NOUN Number=Sing #8->8
རྣམས་	[རྣམས་√d] d.plural DET Number=Plur #9->8 @det
ངེད་	[ངེད་√p] p.pers PRON PronType=Prs #10->10
